Fatty Acids;Alkaline;Alkohols;Status;Main
449,41;22,46;0,30;Healthy Tree;Healthy
752,33;57,59;0,08;Healthy Tree;Healthy
135,73;25,89;6,25;Healthy Tree;Healthy
617,83;48,41;6,19;Ill Tree (damaged);Ill
446,66;64,58;60,85;Ill Tree (damaged);Ill
581,92;85,02;28,40;Ill Tree (damaged);Ill
317,29;74,55;25,41;Ill Tree (damaged);Ill
378,40;67,20;8,34;Ill Tree (damaged);Ill
566,14;89,82;26,24;Ill Tree (not damaged);Ill
371,43;40,26;34,50;Ill Tree (not damaged);Ill
819,48;96,22;12,39;Ill Tree (not damaged);Ill
443,80;85,58;19,73;Ill Tree (not damaged);Ill
433,13;143,63;6,23;Ill Tree (not damaged);Ill
618,30;71,38;44,92;Ill Tree (partly damaged);Ill
686,58;52,98;10,72;Ill Tree (partly damaged);Ill
673,14;71,04;18,29;Ill Tree (partly damaged);Ill
576,95;103,25;17,65;Ill Tree (partly damaged);Ill
641,36;62,23;26,45;Ill Tree (partly damaged);Ill
